0    [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 19, cap: 19))
10   [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 4, cap: 4))
7222 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
7811 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
8039 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
8211 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
8474 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
8951 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
12435 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
13076 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
13610 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
13770 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
0    [main] INFO  com.qzx.herostory.ServerMain  - 服务器启动成功
0    [main] INFO  com.qzx.herostory.ServerMain  - 服务器启动成功
20996 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 19, cap: 19))
20997 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 4, cap: 4))
28870 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 10, cap: 10))
32227 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 14, cap: 14))
33221 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 14, cap: 14))
33590 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 14, cap: 14))
33851 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 14, cap: 14))
34074 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 14, cap: 14))
34338 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 14, cap: 14))
35373 [nioEventLoopGroup-3-1] INFO  com.qzx.herostory.GameMsgHandler  - 收到消息：msg:BinaryWebSocketFrame(data: PooledUnsafeDirectByteBuf(ridx: 0, widx: 14, cap: 14))
